date,AAL,MSFT,TMUS,DFS,NFLX,MCD,IBM,GTX,IT,AMD,PFE,NOK,OIL,IAU,10 Year,Pimco,13 Week,S&P 500,Dow,Russell 2000
1998-01-02,,131.13,,,,47.63,105.62,,36.88,19.31,75.69,73.88,,,10.13,,,,,
1998-01-05,,130.38,,,,47.5,106.44,,36.06,19.31,79.81,72.75,,,10.19,,,,,
1998-01-06,,131.13,,,,47.63,105.25,,35.25,19.88,77.25,74.19,,,10.2,,,,,
1998-01-07,,129.56,,,,47.25,104.25,,35.62,19.0,78.13,74.0,,,10.18,,,,,
1998-01-08,,130.5,,,,46.38,104.19,,35.0,18.94,77.63,73.56,,,10.2,,,,,
1998-01-09,,127.0,,,,45.38,100.06,,33.38,18.25,73.94,69.38,,,10.24,,,,,
1998-01-12,,129.5,,,,46.38,100.12,,34.12,17.75,76.44,68.13,,,10.24,,,,,
1998-01-13,,132.13,,,,47.13,102.12,,34.62,20.88,77.31,69.38,,,10.22,,,,,
1998-01-14,,131.13,,,,47.06,102.62,,33.88,18.44,77.81,74.0,,,10.21,,,,,
1998-01-15,,132.31,,,,46.81,103.44,,34.62,18.06,75.81,73.13,,,10.2,,,,,
1998-01-16,,135.25,,,,47.56,105.0,,34.75,17.81,77.0,73.88,,,10.17,,,,,
1998-01-20,,137.81,,,,48.0,108.37,,37.75,18.56,80.81,76.88,,,10.16,,,,,
1998-01-21,,137.0,,,,47.38,100.12,,37.38,18.56,79.0,75.13,,,10.17,,,,,
1998-01-22,,138.63,,,,47.88,99.37,,36.88,18.38,78.63,74.19,,,10.16,,,,,
1998-01-23,,138.25,,,,47.06,99.19,,37.0,18.13,78.06,73.75,,,10.1,,,,,
1998-01-26,,141.75,,,,47.0,98.12,,36.5,18.94,77.75,72.94,,,10.13,,,,,
1998-01-27,,145.19,,,,47.31,96.5,,36.38,18.75,78.69,76.25,,,10.1,,,,,
1998-01-28,,149.0,,,,47.63,97.0,,36.38,19.19,79.81,81.0,,,10.1,,,,,
1998-01-29,,148.25,,,,47.94,98.19,,37.25,19.75,81.44,78.5,,,10.15,,,,,
1998-01-30,,149.19,,,,47.13,98.75,,37.31,20.19,81.75,76.0,,,10.17,,,,,
1998-02-02,,154.88,,,,47.63,100.56,,37.31,20.06,82.63,78.88,,,10.15,,,,,
1998-02-03,,155.88,,,,48.56,99.37,,37.25,20.0,82.56,79.25,,,10.15,,,,,
1998-02-04,,156.81,,,,48.56,98.31,,36.94,20.0,81.38,81.06,,,10.15,,,,,
1998-02-05,,155.44,,,,48.5,99.56,,35.94,19.06,79.75,81.5,,,10.13,,,,,
1998-02-06,,158.13,,,,48.81,98.0,,37.0,18.5,80.88,82.94,,,10.13,,,,,
1998-02-09,,157.19,,,,49.06,98.0,,35.62,19.13,80.75,80.69,,,10.12,,,,,
1998-02-10,,159.25,,,,50.0,100.87,,37.12,19.38,84.0,81.69,,,10.12,,,,,
1998-02-11,,158.94,,,,50.19,102.69,,40.38,19.13,83.69,82.75,,,10.15,,,,,
1998-02-12,,158.75,,,,51.19,102.87,,39.38,19.0,84.31,91.69,,,10.15,,,,,
1998-02-13,,157.5,,,,53.0,102.37,,38.88,19.13,83.63,90.88,,,10.16,,,,,
